PMC_id	activity	plant	plantparts	process	location	
PMC5248495	Methods >> Investigation of antimicrobial activity by agar diffusion method : The antibacterial and antifungal activity	Methods >> Plant material : O. basilicum var. purpureum, O. basilicum var. thyrsiflora, and O. x citriodorum	Methods >> Plant material : seeds	Methods : air dried plant material (aerial parts only) by hydro-distillation	Methods >> Plant material : Kotayk Region of Armenia	
	Methods >> Determination of radical scavenging activity : Free radical scavenging ability 					
	Results >> Antimicrobial activity of essential oils : bactericidal					
						
						
						
PMC5282690	Methods >> DPPH radical scavenging assay : radical scavenging	Methods >> Plant material: A. campestris	Methods >> Plant material: aerial part	Methods >> Preparation of A.campestris L. essential oil (AcEO) : hydrodistillation	Methods >> Plant material: South-East of Morocco in the border area with Algeria)	
						
PMC5307246	Material and Methods >> Plant Material	Material and Methods >> Plant Material : L. kerstingii	Material and Methods >> Plant Material : Ripe fruits	Material and Methods >> Plant Material	Material and Methods >> Plant Material : southwest Burkina Faso	
			Material and Methods >> Chemical Analysis of the Seeds : seed			
						
						
PMC5307902	 	MATERIALS AND METHODS >> Extraction and characterization of the essential oil from p. amboinicus: P. amboinicus 	MATERIALS AND METHODS >> Extraction and characterization of the essential oil from p. amboinicus : fresh leaves 	MATERIALS AND METHODS >> Extraction and characterization of the essential oil from p. amboinicus : steam distillation	MATERIALS AND METHODS >> Extraction and characterization of the essential oil from p. amboinicus : SÃ£o Paulo, Brazil	
		RESULTS AND DISCUSSIONS >> Extraction and characterization of the essential oil :  P. amboinicus	RESULTS AND DISCUSSIONS >> Extraction and characterization of the essential oil : fresh leaves 			
						
						
PMC5324201	Methods >> Antioxidant activity : Antioxidant 	Methods >> Extraction of essential oils : A. sowa 	Methods >> Plant material : Whole plants	Methods >> Extraction of essential oils : hydro-distillation		
	Methods >> Cytotoxic activity of brine shrimp lethality bioassay : cytotoxicity		Methods >> Extraction of essential oils : root 			
	Methods >> Antimicrobial activity test : Antimicrobial					
	Methods >> Antifungal activity test : Antifungal					
	Results >> Antioxidant activity on DPPH radical : radical scavenging activity					
						
						
PMC5330108	MATERIALS AND METHODS	MATERIALS AND METHODS	MATERIALS AND METHODS >>  Preparation of essential oil: Leaves 	MATERIALS AND METHODS >> Preparation of essential oil : washed thoroughly, dried in shade, and powdered, hydrodistillation	MATERIALS AND METHODS >> Preparation of essential oil : Mysore, India	
						
PMC5330108	MATERIALS AND METHODS >> Minimum inhibitory concentration : antifungal	Results >> Gas chromatography-mass spectrometry analysis : Mentha piperata 	MATERIALS AND METHODS >> Preparation of essential oil : Leaves	MATERIALS AND METHODS >> Preparation of essential oil : dried in shade, and powdered, hydrodistillation	MATERIALS AND METHODS >>  Preparation of essential oil : Mysore, India,	
						
PMC5344628	Results and Discussion >> Chemical Composition >> Phenolic Content : antioxidant, antimicrobial	Experimental Section >> Materials >> Essential Oils >> Experimental Section L: thyme ( Thymus Vulgaris L.), clove ( Eugenia caryophyllusâ€”from dried floral buds of Syzygium aromaticum), rosemary ( Rosmarinus officinalis L.), and tea tree ( Melaleuca alternifolia aetheroleum)		Experimental Section >> Materials >> Essential Oils >> Experimental Section L: distillation	Experimental Section >> Materials >> Essential Oils >> Experimental Section L: Romania	
	Results and Discussion >> Chemical Composition >> Antifungal Activity of the Tested Essential Oils :antifungal					
	Results and Discussion >> Chemical Composition >> Antibacterial Inhibition : antibacterial,  antivermin, and antiviral, antiseptic, antihelmintic, anti-inflammatory, antispastic, carminative,  anti-neuralgic, antiulcer, anti-thrombotic, anticancerinogenic, and  anticoagulant activities 					
	Results and Discussion >> Chemical Composition >> Antioxidant Activity Evaluation : Antioxidant 					
						
						
PMC5364420	Methods >> Cytotoxicity activity : cytotoxic	Methods >> Plant materials: C. rotundus		Methods >> Essential oil extraction : powder, hydrodistilled	Methods >> Plant materials: Taian County of Shandong Province, China	
	Methods >> Antibacterial activity : antibacterial					
						
						
PMC5393100	MATERIALS AND METHODS >> Plant material and extraction >> 	MATERIALS AND METHODS >> Plant material and extraction : P. anisum L	MATERIALS AND METHODS >> Plant material and extraction : fruits	MATERIALS AND METHODS >> Plant material and extraction : steam distillation		
						
PMC5397855	Discussion: Insecticidal activity	Methods >> Garlic essential oil >> A. sativum 		Methods >> Garlic essential oil : hydrodistillation	Methods >> Garlic essential oil : Vargem Grande Paulista, SÃ£o Paulo State, Brasil	
						
PMC5411863	Results and Discussion :antimicrobial	Materials and Methods >> Plant Material : K. anatolica	Materials and Methods >> Plant Material : Seeds	Materials and Methods >> Plant Material : flowering, fruit maturing	Materials and Methods >> Plant Material : Lakes Region Turkey	
		Results and Discussion : K. anatolica 	Results and Discussion: Fresh fruits		Results and Discussion: Algerian	
						
						
PMC5412227	Material and methods >> Antimicrobial activity >> Microbial strains: antibacterial 	Material and methods >> Isolation and analysis of the essential oil : 	Results and Discussion >> Chemical Composition of the Essential Oils : aerial parts		Material and methods >>Plant material: Lorestan province, west of Iran	
	Material and methods >> Antimicrobial activity >> Antioxidant activity: Free radical scavenging Capacity	Results and Discussion >> Chemical Composition of the Essential Oils :  D. kotschyi		Results and Discussion >> Chemical Composition of the Essential Oils :Hydrodistillation		
	Results and Discussion >>  Antimicrobial activity : Antimicrobial 					
	Results and Discussion >> Antioxidant activity and Cytotoxicity :Antioxidant activity 					
						
						
PMC5423258	Experimental >> Plant materials: Testing for antimicrobial activities :antimicrobial 	Experimental >> Plant materials : Calocedrus decurrens Torr. (California Incense-Cedar), Cupressus sempervirens L. (Mediterranean or Italian Cypress) and Tetraclinis articulata (Vahl) Mast. (Cartagena Cypress) 	Experimental >> Plant materials : aerial	Experimental >> Plant materials : flowering period	Experimental >> Plant materials : El-Orman Garden, Giza, Egypt	
	Results and Discussion : antimicrobial activities	Results and Discussion : T. articulata	Experimental >> Preparation of the essential oil : fresh aerial part	Experimental >> Preparation of the essential oil : 		
			Results and Discussion : aerial parts	Results and Discussion : hydrodistilled		
						
PMC5426739	Materials and Methods : 	Materials and Methods:The flaxseed and sesame oils	Materials and Methods: seeds using a cold press	Materials and Methods: cold press	Materials and Methods : Tabriz, Iran	
						
						
PMC5427463	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity : scavenge the 2,2-diphenyl-1-picrylhydrazyl (DPPH) radical 	Materials and Methods >> Plant material: S. officinalis L	Materials and Methods >> Plant material: Leaves	Materials and Methods >> Essential oil extraction : hydrodistillation	Materials and Methods >> Plant material: Central East of Tunisia	
	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity :antioxidant			Materials and Methods >> Essential oil extraction : dried leaves		
	Materials and Methods >>Antimicrobial activity >>    Microorganisms and growth conditions  : antimicrobial					
	    Materials and Methods >> Insecticidal activity >> Insect cultures : insecticide					
						
PMC5448358	Material and Methods >> Plant material : aerial parts (stems, leaves, and flowering tops) 		Material and Methods >> Plant material : aerial parts (stems, leaves, and flowering tops) and roots	Material and Methods >> Plant material :steam distillation	Material and Methods >> Plant material :(District of Louingui, Pool Department, Republic of Congo)	
						
PMC5454990	Results and Discussion >> Essential Oil Chemical Composition	Results and Discussion >> Essential Oil Chemical Composition : Ocotea species	Results and Discussion >> Essential Oil Chemical Composition : leaf	Materials and Methods >> Essential Oil Extraction: hydrodistillation	Materials and Methods >> Plant Material: CaxiuanÃ£ National Forest, MarajÃ³ Island, and their vouchers were deposited in the Herbarium of Museum Paraense EmÃ­lio Goeldi, BelÃ©m, ParÃ¡ state, Brazil	
	Results and Discussion >> Antimicrobial and Cytotoxic Activities : Antimicrobial , cytotoxicity	Materials and Methods >> Plant Material: O. caudata (Nees) Mez, O. cujumary Mart., and O. caniculata (Rich.) Mez	Materials and Methods >> Plant Material: Leaves and branches			
	 Materials and Methods >> Antibacterial Assay: Antibacterial 					
	Materials and Methods >> Cytotoxicity Assay : Cytotoxicity 					
						
						
PMC5485486	Results >> Essential Oils Mediated Cell Cytotoxicity: Cytotoxicity	Material and Methods >> Plant Material: A. citriodora 	Material and Methods >> Extraction of the Essential Oil : leaves 	Material and Methods >> Extraction of the Essential Oil : leaves , shade-dried, hydrodistillation	Material and Methods : Marrakech (Ait Imour region), Beni Mellal (LaÃ¢yayta locality), Agadir (Oulad Tayma), and Berkane and Demnate (mountain region)	
	Results >> Antibacterial Assays >> Disc Diffusion Assay: 					
						
PMC5486035	Results and Discussion	Results and Discussion: Pistacia vera L			Materials and Methods >> Plant Material and Isolation of Essential Oil : Bronte (Catania, Italy) 	
	Results and Discussion >> Antioxidant Activities :antioxidants	Materials and Methods >> Plant Material and Isolation of Essential Oil : pistachio hulls ( P. vera L., variety Bronte)				
	Results and Discussion >> Cytoprotective Activity : 					
	Results and Discussion >> Antimicrobial Activities: Antimicrobial 					
	Materials and Methods >> Antimicrobial Activity : antimicrobial activity 					
						
PMC5497343	Methods >> Determination of antioxidant property : Antioxidant 	Methods >> Plant material: T. minuta	Methods >>Plant material : Fresh flowers	Methods >> Extraction of essential oil: powdered flower , hydro-distillation	Methods>> Plant material :Sakhisizwe Local Municipality Eastern Cape Province, South Africa	
	Methods >> Determination of antibacterial properties : antibacterial				Plant material	
	Methods >> Essential oil scavenging activity on DPPH radical: scavenging activity on the DPPH radical					
						
						
PMC5507808	Results and Discussion : antimicrobial, anti-inflammatory, analgesic, anti-oxidant and anticancer	Experimental Sction >> Collection of Plant Leaves : Pimenta racemosa	Experimental Sction >> Collection of Plant Leaves : fresh leaves	Results and Discussion >>hydrodistillation	Experimental Sction >> Collection of Plant Leaves: Abomey-calavi (southern Benin) 	
				Experimental Sction >> Essential Oil Extraction : hydro-distillation		
						
						
PMC5524814		Materials and methods >> Plant material:  Salvia blancoana subsp. mariolensis, two of S. officinalis subsp. lavandulifolia, and one of S. x hegelmaieri, S. officinalis subsp. officinalis, S. x auriculata, and S. microphylla var. microphylla 	Materials and methods >> Plant material: aerial part	Extracts >> Essential oil isolation:Air-dried, hydrodistillation	Materials and methods >> Study area: East and Southeast of Spain	
						
PMC5527698	RESULTS >>  Antimicrobial effect of essential oil from Mentha piperita :  inhibitory activity against all studied bacteria,  fungicidal 	MATERIALS AND METHODS >> Plant material : Mentha piperita 	MATERIALS AND METHODS >> Plant material : fresh aerial part	MATERIALS AND METHODS >> Essential oils extraction : hydrodistillation	 MATERIALS AND METHODS >> Plant material : (Morocco)	
						
PMC5535876						
						
PMC5543433	Methods >> Collection of plant material : The flowers of Citrus limon	Methods >> Collection of plant material : Citrus limon	Methods >> Collection of plant material : flowers	Methods >> Essential oil extraction : fresh plant, steam distillation 	Methods >> Collection of plant material : Cap Bon of Tunisia	
	Antimicrobial activity >> Agar diffusion method : Antibacterial and antifungal 					
	Results and discussion >> Antioxidant activities: radical scavenging property and antioxidant 					
	Results and discussion >> Antimicrobial activities : antibacterial activity					
						
PMC5546729		Materials and methods : N. sativa	Materials and methods : Collection and storage of N. sativa seeds : seeds	Materials and methods >> Supercritical fluid extraction	Materials and methods : Iran and India.	
						
PMC5551175	Results and Discussion >> Inhibition of Trypanosoma brucei Proliferation : antitrypanosomal	Materials and Methods >> Plant Material : A. indica, A. melegueta, 	Materials and Methods >> Plant Material : Leaves, Fruits (pods)	Materials and Methods >> Plant Material : air-dried, hydrodistillation	Materials and Methods >> Plant Material : Cameroon	
				Materials and Methods >>Isolation of Essential Oil : hydrodistillation		
				Results and Discussion >> Chemical Composition of Essential Oils from Cameroonian Plants: hydrodistilled		
						
PMC5568258	Methods >> Antibacterial activity:  antibacterial activity 	Methods >> Plant material and essential oil extraction: M. urundeuva 	Methods >> Plant material and essential oil extraction: Leaves	Methods >> Plant material and essential oil extraction:  hydrodistilled	Methods >> Plant material and essential oil extraction: Fortaleza, CearÃ¡, Brazil	
	Methods >> Cytotoxicity assay : Cytotoxicity					
						
						
PMC5569441	Materials and Methods	Materials and Methods >> Materials : Cinnamon	Materials and Methods :Dried bark parts, hydrodistillation  	Materials and Methods >> Materials : Dried bark parts,  hydrodistillation	Materials and Methods >> Materials >> Iran	
	Results	Results >> Chemical composition of the essential oil :	Results >>  Chemical composition of the essential oil : bark	Results >> Chemical composition of the essential oil : hydrodistillation	Results	
						
						
PMC5575638	Results and Discussion >> Allium vineale : antifungal , antibacterial , acaricidal, antiparasitic, nematicidal , antiviral , and insecticidal 	Materials and Methods >> Plant Material >> Allium sativum : Allium sativum	Materials and Methods >> Plant Material >> Allium sativum : Bulbs	Materials and Methods >> Plant Material : hydrodistillation	Materials and Methods >> Plant Material : Las PedroÃ±eras, Spain	
		Materials and Methods >> Plant Material >> Allium vineale: Allium vineale	Materials and Methods >> Plant Material >> Allium vineale: entire plant (leaves and bulbs)	Materials and Methods >> Plant Material >> Allium vineale : hydrodistilled	Materials and Methods >> Plant Material >> Allium vineale: Huntsville, Alabama	
				Results and Discussion >> Allium sativum : hydrodistillation, steam distillation		
				Results and Discussion >> Allium vineale : hydrodistillation, steam distillation		
						
PMC5577677	Methods >> Measurement of antioxidant enzyme activity and oxidative stability					
						
PMC5585972		Methods >> Collection of essential oils : Clove and cinnamon			Methods >> Collection of essential oils : Mwanza, Tanzania	
	Results >> larvicidal activity					
						
PMC5590060	Materials and Methods >> Antioxidant Activity >> DPPH Radical Scavenging Activity: free radical scavenging	Materials and Methods >> Plant Sample :  E. foetidum	Materials and Methods >> Plant Sample : leaf, stem and root	Materials and Methods >> Plant Sample : hydrodistillation	Materials and Methods >> Plant Sample : Akwa Ibom State, Nigeria	
	Results and Discussion >> radical scavenging activity, antioxidant activity	Results and Discussion : E. foetidum	Results and Discussion : leaf, stem and root	Results and Discussion	Results and Discussion	
						
PMC5590062	Materials and Methods >> In vitro Antioxidant Activity : antioxidant activity 	Materials and Methods >> Plant Material : Avicennia schaueriana 	Materials and Methods >> Plant Material : leaves	Materials and Methods >> Extraction of the Essential Oil: hydrodistillation	Materials and Methods >> Plant Material: SÃ£o Paulo, Brazil 	
	Materials and Methods >> Antimicrobial Activity : Antifungal, antimicrobial 	Results >>Chemical Composition of Essential Oil: A. schaueriana	Results >>Chemical Composition of Essential Oil: leaves 			
	Results >> Antioxidant Activity : Antioxidant 					
	Results >> Antimicrobial Activity : antimicrobial					
						
						
PMC5590063	Materials and Methods >> Antifungal Assays :  antifungal	Materials and Methods >> Plant Materials: V. guianensis,  H. courbaril var. courbaril and M. peruiferum 	Materials and Methods >> Plant Materials: Leaves	Materials and Methods >> Extraction of Essential Oils :  hydrodistillation	Materials and Methods >> Plant Materials:  Cabo de Santo Agostinho, Pernambuco, Brazil	
	Results : fungicidal	Results : H. courbaril, M. peruiferum, and V. guianensis				
						
						
PMC5590065	 Materials and Methods >> Antioxidant Activity >> DPPH Radical Scavenging Activity : free radical scavenging	Materials and Methods >> Plant Sample : A. danielli	Materials and Methods >> Plant Sample : leaf, stem, seed, rhizome, and pod	Materials and Methods >> Plant Sample	Materials and Methods >> Plant Sample : Akwa Ibom State, Nigeria	
		Results and Discussion : A. danielli	 Results and Discussion : leaf, stem, seed, rhizome and pod		Results and Discussion : Nigeria	
						
PMC5590066	Materials and Methods >> Assessment of Antibacterial Effect of EO	Materials and Methods >> Plant Material : Achillea millefolium	Materials and Methods >> Plant Material : aerial parts	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material	
	Materials and Methods >> Assessment of Antifungal Activity of EO	Results and Discussion >> Composition of EO : A. millefolium 	Results and Discussion >> Composition of EO : aerial parts 	Materials and Methods >> EO Extraction : flowering,  water-distillation		
	Results and Discussion >> Antibacterial Activity of EO : Antibacterial					
	Results and Discussion >> Antifungal Activity of EO : Antifungal					
						
						
PMC5590067		Materials and Methods >> Plant Material: Z. monogynum	Materials and Methods >> Plant Material : leaves	Materials and Methods >> Plant Material : hydro-distillation	Materials and Methods >> Plant Material:  Itatiaia National Park, State of Rio de Janeiro	
	Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves : anticancer	 Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves : Z. monogynum	 Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves :leaves	Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves : hydrodistillation		
						
						
PMC5590070	Experimental Section >> Plant Material and Extraction of Essential Oil: T. vulgare 	Experimental Section >> Plant Material and Extraction of Essential Oil: T. vulgare  	Experimental Section >> Plant Material and Extraction of Essential Oil:aerial portions 	Experimental Section >> Plant Material and Extraction of Essential Oil:steam distillation 	Experimental Section >> Plant Material and Extraction of Essential Oil:Quebec, QC, Canada 	
	Experimental Section >> Measurement of Anti-Inflammatory Activity: 			Results and Discussion : steam distillation		
	Experimental Section >> Evaluation of Antioxidant Activity Using Cell-Based Assays					
	Experimental Section >> Evaluation of Antibacterial Activity					
	Results and Discussion:  anti-inflammatory, antioxidant, antibiotic, and cytotoxic effects	Results and Discussion : T. vulgare				
						
						
PMC5592951						
						
PMC5597067	Materials and Methods >> Materials	Materials and Methods >> Materials : Citrus medica L. 	Materials and Methods >> Materials : fresh fruits	Materials and Methods >> Materials	Materials and Methods >> Materials : Zhejiang, China	
	Materials >> Antimicrobial Screening : antibacterial activity					
	Materials >> Antioxidant Activity Screening :  antioxidant activity					
	Results >> Antimicrobial Activity of Fingered Citron Oils: antimicrobial activity 					
	Results >> Antioxidant Activity: antioxidant activity					
						
						
						
PMC5602041	Materials and methods >> Field experiment:  tick repelling activity	Materials and methods >> Essential oils : Table 11	Materials and methods >> Essential oils : Table 11	Materials and methods >> Essential oils: air-dried ,  steam distillation	Materials and methods >> Essential oils:Cairo-Egypt	
	Results >> Field study: strongest repellency toward ticks	Results >>  Isolation of essential oils: Foeniculum vulgare , Matricaria recutita, Ricinus communis, Conyza dioscoridis, Calendula officinalis , Artemisia herba-alba, 	Results >>  Isolation of essential oils: seeds			
						
						
PMC5602841	Methods >> PAEO and carvacrol antimicrobial effect: Antimicrobial potential	Methods >> Plant material:  P. amboinicus	Methods >> Plant material:  Leaves and stem	Methods >> Extraction of Plectranthus amboinicus essential oil (PAEO): hydrodistillation	Methods >> Plant material: Northest Brazil	
	Methods >> Antibiogram to PAEO and carvacrol:  antimicrobial					
	Methods >> Antibiofilm activity: Antibiofilm activity					
	Results : Antibiotic 					
	Results : Biofilm activities					
						
						
PMC5603114		Experimental >> Plant Material: resins	Experimental >> Plant Material: resins	Experimental >> Extraction: hydrodistillation	Experimental  >> Plant Material : Brazil	
	Results and Discussion:  antifungal, antibacterial, antioxidant, anticancer, and antispasmodic	Results and Discussion:  P. heptaphyllum	Results and Discussion: resin	Results and Discussion:  	Results and Discussion:  Cruzeiro do Sul, AC, north of Brazil	
						
						
PMC5613177	Materials and methods >> Antioxidants: free radical scavenging	Materials and methods >> Chemicals, plant material, and treatments :  R. officinallis	Materials and methods >>  hydrodistillation of dried ground leaf: leaf	 Materials and methods >> hydrodistillation of dried ground leaf  hydrodistillation of dried ground leaf	Materials and methods >> Chemicals, plant material, and treatments:Egypt	
	Materials and methods >>  Antibacterial activities of leaf extracts : antibacterial activities		Results: leaf	 Materials and methods >> hydrodistillation of dried ground leaf  hydrodistillation of dried ground leaf		
	Results >> Antioxidant capacity of leaves essential oils and methanolic extracts : antioxidant capacity		 Results >> Antioxidant capacity of leaves essential oils and methanolic extracts : leaf 			
						
					 	
PMC5615139		Materials and methods >> Plant material: identification and collection: Curcuma longa	Materials and methods >> Plant material: identification and collection : rhizomes and leaves	Materials and methods >> Extraction and analysis of the essential oil : fresh rhizomes of C. longa (1.5 kg) were hydro-distilled 	Materials and methods >> Plant material: identification and collection :  Ondo (Nigeria)	
						
						
PMC5615285	Materials and Methods >> Antioxidant Activity	Materials and Methods >> Plant Material: F. vulgare 	Materials and Methods >> Plant Material: aerial parts	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material: Varzob region, Tajikistan	
	Materials and Methods >> Cytotoxicity:   Cytotoxicity	Results and Discussion >> Chemical Composition: F. vulgare	Results and Discussion >> Chemical Composition:		Results and Discussion >> Chemical Composition:Tajikistan	
	Materials and Methods >> Hemolytic Activity: Hemolytic Activity					
	Results and Discussion >> Antioxidant Activity : Antioxidant 					
	Results and Discussion >> Cytotoxicity : Cytotoxicity					
						
						
PMC5620597	Results and Discussion >> Chemical Analysis	Results and Discussion >> Chemical Analysis: O. forskolei and Teucrium yemense	Results and Discussion >> Chemical Analysis		Results and Discussion >> Chemical Analysis : Yemen	
		Materials and Methods >> Cultivation Conditions and Plant Material: Ocimum basilicum L. (basil) 	 Materials and Methods >> Cultivation Conditions and Plant Material: Ocimum basilicum L. (basil) : seeds	  Materials and Methods >> Essential Oil Distillation:  hydro distillation		
						
						
PMC5622382		Materials and Methods >> Essential Oils: Salvia officinalis	Materials and Methods >> Essential Oils	Materials and Methods >> Essential Oils: hydrodistilled	Materials and Methods >> Essential Oils: Mexico	
		Results and Discussion: S. officinalis	Results and Discussion: sage leaf 			
						
						
PMC5622390	Materials and Methods >> Antifungal Activity: antifungal	Materials and Methods >> Plant Material:Hedyosmum brasiliense 	Materials and Methods >> Plant Material: flowers and leaves	Materials and Methods >> Extraction of the Essential Oils:  Leaves and flowers, hydrodistillation	Materials and Methods: Parque Estadual da Ilha do Cardoso, SÃ£o Paulo, Brazil	
	Results >> Antifungal Activity : antifungal					
	Results >> Antioxidant Activity: antioxident					
						
						
PMC5622397	Material and Methods >> Preparation of the Solutions for Biological Activity	Material and Methods: C. lunata 	Material and Methods: maize leaves	Material and Methods	Material and Methods:  Brazil	
	Material and Methods >> Phytoxicity of the Essential Oil (Cymbopogon citratus) to Maize Plants			Essential Oil Attainment: hydrodistillation 		
						
						
PMC5622398	Biological Activities >> Antimicrobial Activity :  antibacterial 	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Rosemary (R EO): Rosmarinus officinalis L				
	Biological Activities >> Antifungal Activity : antifungal 	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Rosemary (R EO): Origanum vulgare				
	Biological Activities >> Anti-Angiogenic and Anti-Tumoural Potential of Essential Oils: inhibit cancer cell viability and angiogenesis					
	Biological Activities >> Antioxidant Activity:  antioxidants					
	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Rosemary (R EO): antibacterial activity					
	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Oregano (O EO) : antimicrobial and antioxidant activity.					
						
						
PMC5622401	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material: C. gileadensis	Materials and Methods >> Plant Material : Leaves, stems, and fruits 	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material : Israel.	
	Results and Discussion	Results and Discussion: C. gileadensis	Results and Discussion: aerial parts and flowering	Results and Discussion	Results and Discussion : Makkah, Saudi Arabia	
						
						
PMC5622403	Antimicrobial Properties of Artemisia Essential Oils:  antimicrobial: fungicidal 	Chemical Composition of Essential oils of Artemisia Species: genus Artemisia, A. dracunculus, piperitone in A. judaica	Chemical Composition of Essential oils of Artemisia Species: leaf, stem, areal part and inflorescence 			
	Efficacy of Artemisia Oils against Insect Pests: insecticidal agent or antifeedant					
	Antimicrobial Properties of Artemisia Essential Oils: fungicidal activity					
	Antioxidant Activity: inhibiting or quenching free radicals and reactive oxygen species					
						
						
PMC5625792	Methods >> Antibacterial activity >> Determination of minimum bactericidal concentration (MBC) : 	Methods >> Essential oil :  ROEO 		Methods >> Essential oil:  hydrodistillation	Methods >> Essential oil: Sfax, Tunisia.	
	Methods >> Determination of the effect of rosemary essential oil on Staphylococcus epidermidis S61 biofilm formation >> Inhibition of initial cell attachment : Anti-biofilm activity  					
	Methods: Anticancer activity					
	Results >> Antibacterial activity : antibacterial activity					
	Results >> Anti-biofilm activity : anti-adhesion activity					
	Results >> Anticancer activity: anticancer activities					
	Results >> Analysis of wound healing and cell migration					
						
						
PMC5641611	Materials and Methods >> Mosquito larvicidal assay: larvicidal activity	Materials and Methods >> Collection of Plant material and extraction of essential oil: Coccinia grandis	Materials and Methods >> Collection of Plant material and extraction of essential oil: fresh leaves		Materials and Methods >> Collection of Plant material and extraction of essential oil:India	
						
						
PMC5651092		Materials and Methods >> Essential Oil : Citrus limonum and  Piper nigrum	Materials and Methods >> Essential Oil : peel		Materials and Methods >> Essential Oil : Brazil	
						
PMC5653886	Materials and Methods >> Evaluation of antibacterial activity : Antibacterial activity	Materials and Methods >> Plant material and EOs preparation M. officinalis and D. moldavica: M. officinalis and D. moldavica	Materials and Methods >> >> Plant material and EOs preparation : Aerial parts	Materials and Methods >> Plant material and EOs preparation: hydro-distillation	Materials and Methods >>   Plant material and EOs preparation : Urmia, Iran	
	Materials and Methods >> Determination of antioxidant activity: antioxidant activity	antioxidant activity				
	Results >> Chemical composition>> M. officinalis and D. moldavica					
	Results >> Antibacterial activity : Antibacterial	Results >> Antibacterial activity: M. officinalis and D. moldavica				
	Results >> Antioxidant properties : Antioxidant					
						
						
						
PMC5660901		Results >> The chemical composition of kaffir lime oil: analysis results on kaffir lime oil	Results	Methods >> Fractional distillation: Fractional distillation	Methods >> Material and instrument: Ngunut, Tulungagung, East Java	
						
						
PMC5661929	Materials and methods >> Plant collection	Materials and methods >> Plant collection: P. tobira 	Materials and methods >> Plant collection: seeds	Materials and methods  >> Hydrodistillation (HD): Hydrodistillation	Materials and methods >> Plant collection : southwestern Tunisia	
	Materials and methods >>Antioxidant activity >> DPPH radical scavenging activity:			Materials and methods >>Headspace- solid phase microextraction (HS-SPME)		
	Materials and methods >>Oxidative hemolysis inhibition assay:					
	Results and discussion >>  Antioxidant activities : Antioxidant	Results and discussion >> P. tobira 	Results and discussion >> seeds 		Results and discussion	
