PMC_id	activity	plant	plantparts	process	location	
PMC5330108	MATERIALS AND METHODS >> Minimum inhibitory concentration : antifungal	Results >> Gas chromatography-mass spectrometry analysis : Mentha piperata	MATERIALS AND METHODS >> Preparation of essential oil : Leaves	MATERIALS AND METHODS >> Preparation of essential oil : dried in shade, and powdered, hydrodistillation	MATERIALS AND METHODS >>  Preparation of essential oil : Mysore, India,	
PMC5344628	Results and Discussion >> Chemical Composition >> Phenolic Content : antioxidant, antimicrobial	Experimental Section >> Materials >> Essential Oils >> Experimental Section L: thyme ( Thymus Vulgaris L.), clove ( Eugenia caryophyllusâ€”from dried floral buds of Syzygium aromaticum), rosemary ( Rosmarinus officinalis L.), and tea tree ( Melaleuca alternifolia aetheroleum)		Experimental Section >> Materials >> Essential Oils >> Experimental Section L: distillation	Experimental Section >> Materials >> Essential Oils >> Experimental Section L: Romania	
PMC5344628	Results and Discussion >> Chemical Composition >> Antifungal Activity of the Tested Essential Oils :antifungal					
PMC5344628	Results and Discussion >> Chemical Composition >> Antibacterial Inhibition : antibacterial,  antivermin, and antiviral, antiseptic, antihelmintic, anti-inflammatory, antispastic, carminative,  anti-neuralgic, antiulcer, anti-thrombotic, anticancerinogenic, and  anticoagulant activities					
PMC5344628	Results and Discussion >> Chemical Composition >> Antioxidant Activity Evaluation : Antioxidant					
PMC5364420	Methods >> Cytotoxicity activity : cytotoxic	Methods >> Plant materials: C. rotundus		Methods >> Essential oil extraction : powder, hydrodistilled	Methods >> Plant materials: Taian County of Shandong Province, China	
PMC5364420	Methods >> Antibacterial activity : antibacterial					
PMC5393100	MATERIALS AND METHODS >> Plant material and extraction >>	MATERIALS AND METHODS >> Plant material and extraction : P. anisum L	MATERIALS AND METHODS >> Plant material and extraction : fruits	MATERIALS AND METHODS >> Plant material and extraction : steam distillation		
PMC5397855	Discussion: Insecticidal activity	Methods >> Garlic essential oil >> A. sativum		Methods >> Garlic essential oil : hydrodistillation	Methods >> Garlic essential oil : Vargem Grande Paulista, SÃ£o Paulo State, Brasil	
PMC5411863	Results and Discussion :antimicrobial	Materials and Methods >> Plant Material : K. anatolica	Materials and Methods >> Plant Material : Seeds	Materials and Methods >> Plant Material : flowering, fruit maturing	Materials and Methods >> Plant Material : Lakes Region Turkey	
PMC5411863		Results and Discussion : K. anatolica	Results and Discussion: Fresh fruits		Results and Discussion: Algerian	
PMC5412227	Material and methods >> Antimicrobial activity >> Microbial strains: antibacterial	Material and methods >> Isolation and analysis of the essential oil :	Results and Discussion >> Chemical Composition of the Essential Oils : aerial parts		Material and methods >>Plant material: Lorestan province, west of Iran	
PMC5412227	Material and methods >> Antimicrobial activity >> Antioxidant activity: Free radical scavenging Capacity	Results and Discussion >> Chemical Composition of the Essential Oils :  D. kotschyi		Results and Discussion >> Chemical Composition of the Essential Oils :Hydrodistillation		
PMC5412227	Results and Discussion >>  Antimicrobial activity : Antimicrobial					
PMC5412227	Results and Discussion >> Antioxidant activity and Cytotoxicity :Antioxidant activity					
PMC5423258	Experimental >> Plant materials: Testing for antimicrobial activities :antimicrobial	Experimental >> Plant materials : Calocedrus decurrens Torr. (California Incense-Cedar), Cupressus sempervirens L. (Mediterranean or Italian Cypress) and Tetraclinis articulata (Vahl) Mast. (Cartagena Cypress)	Experimental >> Plant materials : aerial	Experimental >> Plant materials : flowering period	Experimental >> Plant materials : El-Orman Garden, Giza, Egypt	
PMC5423258	Results and Discussion : antimicrobial activities	Results and Discussion : T. articulata	Experimental >> Preparation of the essential oil : fresh aerial part	Experimental >> Preparation of the essential oil :		
PMC5423258			Results and Discussion : aerial parts	Results and Discussion : hydrodistilled		
PMC5426739	Materials and Methods :	Materials and Methods:The flaxseed and sesame oils	Materials and Methods: seeds using a cold press	Materials and Methods: cold press	Materials and Methods : Tabriz, Iran	
PMC5427463	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity : scavenge the 2,2-diphenyl-1-picrylhydrazyl (DPPH) radical	Materials and Methods >> Plant material: S. officinalis L	Materials and Methods >> Plant material: Leaves	Materials and Methods >> Essential oil extraction : hydrodistillation	Materials and Methods >> Plant material: Central East of Tunisia	
PMC5427463	Materials and Methods >> Antioxidant activity >> DPPH free radical scavenging activity :antioxidant			Materials and Methods >> Essential oil extraction : dried leaves		
PMC5427463	Materials and Methods >>Antimicrobial activity >>    Microorganisms and growth conditions  : antimicrobial					
PMC5427463	Materials and Methods >> Insecticidal activity >> Insect cultures : insecticide					
PMC5448358	Material and Methods >> Plant material : aerial parts (stems, leaves, and flowering tops)		Material and Methods >> Plant material : aerial parts (stems, leaves, and flowering tops) and roots	Material and Methods >> Plant material :steam distillation	Material and Methods >> Plant material :(District of Louingui, Pool Department, Republic of Congo)	
PMC5454990	Results and Discussion >> Essential Oil Chemical Composition	Results and Discussion >> Essential Oil Chemical Composition : Ocotea species	Results and Discussion >> Essential Oil Chemical Composition : leaf	Materials and Methods >> Essential Oil Extraction: hydrodistillation	Materials and Methods >> Plant Material: CaxiuanÃ£ National Forest, MarajÃ³ Island, and their vouchers were deposited in the Herbarium of Museum Paraense EmÃ­lio Goeldi, BelÃ©m, ParÃ¡ state, Brazil	
PMC5454990	Results and Discussion >> Antimicrobial and Cytotoxic Activities : Antimicrobial , cytotoxicity	Materials and Methods >> Plant Material: O. caudata (Nees) Mez, O. cujumary Mart., and O. caniculata (Rich.) Mez	Materials and Methods >> Plant Material: Leaves and branches			
PMC5454990	Materials and Methods >> Antibacterial Assay: Antibacterial					
PMC5454990	Materials and Methods >> Cytotoxicity Assay : Cytotoxicity					
PMC5485486	Results >> Essential Oils Mediated Cell Cytotoxicity: Cytotoxicity	Material and Methods >> Plant Material: A. citriodora	Material and Methods >> Extraction of the Essential Oil : leaves	Material and Methods >> Extraction of the Essential Oil : leaves , shade-dried, hydrodistillation	Material and Methods : Marrakech (Ait Imour region), Beni Mellal (LaÃ¢yayta locality), Agadir (Oulad Tayma), and Berkane and Demnate (mountain region)	
PMC5485486	Results >> Antibacterial Assays >> Disc Diffusion Assay:					
PMC5486035	Results and Discussion	Results and Discussion: Pistacia vera L			Materials and Methods >> Plant Material and Isolation of Essential Oil : Bronte (Catania, Italy)	
PMC5486035	Results and Discussion >> Antioxidant Activities :antioxidants	Materials and Methods >> Plant Material and Isolation of Essential Oil : pistachio hulls ( P. vera L., variety Bronte)				
PMC5486035	Results and Discussion >> Cytoprotective Activity :					
PMC5486035	Results and Discussion >> Antimicrobial Activities: Antimicrobial					
PMC5486035	Materials and Methods >> Antimicrobial Activity : antimicrobial activity					
PMC5497343	Methods >> Determination of antioxidant property : Antioxidant	Methods >> Plant material: T. minuta	Methods >>Plant material : Fresh flowers	Methods >> Extraction of essential oil: powdered flower , hydro-distillation	Methods>> Plant material :Sakhisizwe Local Municipality Eastern Cape Province, South Africa	
PMC5497343	Methods >> Determination of antibacterial properties : antibacterial				Plant material	
PMC5497343	Methods >> Essential oil scavenging activity on DPPH radical: scavenging activity on the DPPH radical					
PMC5507808	Results and Discussion : antimicrobial, anti-inflammatory, analgesic, anti-oxidant and anticancer	Experimental Sction >> Collection of Plant Leaves : Pimenta racemosa	Experimental Sction >> Collection of Plant Leaves : fresh leaves	Results and Discussion >>hydrodistillation	Experimental Sction >> Collection of Plant Leaves: Abomey-calavi (southern Benin)	
PMC5507808				Experimental Sction >> Essential Oil Extraction : hydro-distillation		
PMC5524814		Materials and methods >> Plant material:  Salvia blancoana subsp. mariolensis, two of S. officinalis subsp. lavandulifolia, and one of S. x hegelmaieri, S. officinalis subsp. officinalis, S. x auriculata, and S. microphylla var. microphylla	Materials and methods >> Plant material: aerial part	Extracts >> Essential oil isolation:Air-dried, hydrodistillation	Materials and methods >> Study area: East and Southeast of Spain	
PMC5527698	RESULTS >>  Antimicrobial effect of essential oil from Mentha piperita :  inhibitory activity against all studied bacteria,  fungicidal	MATERIALS AND METHODS >> Plant material : Mentha piperita	MATERIALS AND METHODS >> Plant material : fresh aerial part	MATERIALS AND METHODS >> Essential oils extraction : hydrodistillation	MATERIALS AND METHODS >> Plant material : (Morocco)	
PMC5535876						
PMC5543433	Methods >> Collection of plant material : The flowers of Citrus limon	Methods >> Collection of plant material : Citrus limon	Methods >> Collection of plant material : flowers	Methods >> Essential oil extraction : fresh plant, steam distillation	Methods >> Collection of plant material : Cap Bon of Tunisia	
PMC5543433	Antimicrobial activity >> Agar diffusion method : Antibacterial and antifungal					
PMC5543433	Results and discussion >> Antioxidant activities: radical scavenging property and antioxidant					
PMC5543433	Results and discussion >> Antimicrobial activities : antibacterial activity					
PMC5546729		Materials and methods : N. sativa	Materials and methods : Collection and storage of N. sativa seeds : seeds	Materials and methods >> Supercritical fluid extraction	Materials and methods : Iran and India.	
PMC5551175	Results and Discussion >> Inhibition of Trypanosoma brucei Proliferation : antitrypanosomal	Materials and Methods >> Plant Material : A. indica, A. melegueta,	Materials and Methods >> Plant Material : Leaves, Fruits (pods)	Materials and Methods >> Plant Material : air-dried, hydrodistillation	Materials and Methods >> Plant Material : Cameroon	
PMC5551175				Materials and Methods >>Isolation of Essential Oil : hydrodistillation		
PMC5551175				Results and Discussion >> Chemical Composition of Essential Oils from Cameroonian Plants: hydrodistilled		
PMC5568258	Methods >> Antibacterial activity:  antibacterial activity	Methods >> Plant material and essential oil extraction: M. urundeuva	Methods >> Plant material and essential oil extraction: Leaves	Methods >> Plant material and essential oil extraction:  hydrodistilled	Methods >> Plant material and essential oil extraction: Fortaleza, CearÃ¡, Brazil	
PMC5568258	Methods >> Cytotoxicity assay : Cytotoxicity					
PMC5569441	Materials and Methods	Materials and Methods >> Materials : Cinnamon	Materials and Methods :Dried bark parts, hydrodistillation	Materials and Methods >> Materials : Dried bark parts,  hydrodistillation	Materials and Methods >> Materials >> Iran	
PMC5569441	Results	Results >> Chemical composition of the essential oil :	Results >>  Chemical composition of the essential oil : bark	Results >> Chemical composition of the essential oil : hydrodistillation	Results	
PMC5575638	Results and Discussion >> Allium vineale : antifungal , antibacterial , acaricidal, antiparasitic, nematicidal , antiviral , and insecticidal	Materials and Methods >> Plant Material >> Allium sativum : Allium sativum	Materials and Methods >> Plant Material >> Allium sativum : Bulbs	Materials and Methods >> Plant Material : hydrodistillation	Materials and Methods >> Plant Material : Las PedroÃ±eras, Spain	
PMC5575638		Materials and Methods >> Plant Material >> Allium vineale: Allium vineale	Materials and Methods >> Plant Material >> Allium vineale: entire plant (leaves and bulbs)	Materials and Methods >> Plant Material >> Allium vineale : hydrodistilled	Materials and Methods >> Plant Material >> Allium vineale: Huntsville, Alabama	
PMC5575638				Results and Discussion >> Allium sativum : hydrodistillation, steam distillation		
PMC5575638				Results and Discussion >> Allium vineale : hydrodistillation, steam distillation		
PMC5577677	Methods >> Measurement of antioxidant enzyme activity and oxidative stability					
PMC5585972		Methods >> Collection of essential oils : Clove and cinnamon			Methods >> Collection of essential oils : Mwanza, Tanzania	
PMC5585972	Results >> larvicidal activity					
PMC5590060	Materials and Methods >> Antioxidant Activity >> DPPH Radical Scavenging Activity: free radical scavenging	Materials and Methods >> Plant Sample :  E. foetidum	Materials and Methods >> Plant Sample : leaf, stem and root	Materials and Methods >> Plant Sample : hydrodistillation	Materials and Methods >> Plant Sample : Akwa Ibom State, Nigeria	
PMC5590060	Results and Discussion >> radical scavenging activity, antioxidant activity	Results and Discussion : E. foetidum	Results and Discussion : leaf, stem and root	Results and Discussion	Results and Discussion	
PMC5590062	Materials and Methods >> In vitro Antioxidant Activity : antioxidant activity	Materials and Methods >> Plant Material : Avicennia schaueriana	Materials and Methods >> Plant Material : leaves	Materials and Methods >> Extraction of the Essential Oil: hydrodistillation	Materials and Methods >> Plant Material: SÃ£o Paulo, Brazil	
PMC5590062	Materials and Methods >> Antimicrobial Activity : Antifungal, antimicrobial	Results >>Chemical Composition of Essential Oil: A. schaueriana	Results >>Chemical Composition of Essential Oil: leaves			
PMC5590062	Results >> Antioxidant Activity : Antioxidant					
PMC5590062	Results >> Antimicrobial Activity : antimicrobial					
PMC5590063	Materials and Methods >> Antifungal Assays :  antifungal	Materials and Methods >> Plant Materials: V. guianensis,  H. courbaril var. courbaril and M. peruiferum	Materials and Methods >> Plant Materials: Leaves	Materials and Methods >> Extraction of Essential Oils :  hydrodistillation	Materials and Methods >> Plant Materials:  Cabo de Santo Agostinho, Pernambuco, Brazil	
PMC5590063	Results : fungicidal	Results : H. courbaril, M. peruiferum, and V. guianensis				
PMC5590065	Materials and Methods >> Antioxidant Activity >> DPPH Radical Scavenging Activity : free radical scavenging	Materials and Methods >> Plant Sample : A. danielli	Materials and Methods >> Plant Sample : leaf, stem, seed, rhizome, and pod	Materials and Methods >> Plant Sample	Materials and Methods >> Plant Sample : Akwa Ibom State, Nigeria	
PMC5590065		Results and Discussion : A. danielli	Results and Discussion : leaf, stem, seed, rhizome and pod		Results and Discussion : Nigeria	
PMC5590066	Materials and Methods >> Assessment of Antibacterial Effect of EO	Materials and Methods >> Plant Material : Achillea millefolium	Materials and Methods >> Plant Material : aerial parts	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material	
PMC5590066	Materials and Methods >> Assessment of Antifungal Activity of EO	Results and Discussion >> Composition of EO : A. millefolium	Results and Discussion >> Composition of EO : aerial parts	Materials and Methods >> EO Extraction : flowering,  water-distillation		
PMC5590066	Results and Discussion >> Antibacterial Activity of EO : Antibacterial					
PMC5590066	Results and Discussion >> Antifungal Activity of EO : Antifungal					
PMC5590067		Materials and Methods >> Plant Material: Z. monogynum	Materials and Methods >> Plant Material : leaves	Materials and Methods >> Plant Material : hydro-distillation	Materials and Methods >> Plant Material:  Itatiaia National Park, State of Rio de Janeiro	
PMC5590067	Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves : anticancer	Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves : Z. monogynum	 Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves :leaves	Results and Discussion >> Chemical Composition of the Essential Oil from Z. monogynum Leaves : hydrodistillation		
PMC5590070	Experimental Section >> Plant Material and Extraction of Essential Oil: T. vulgare	Experimental Section >> Plant Material and Extraction of Essential Oil: T. vulgare	Experimental Section >> Plant Material and Extraction of Essential Oil:aerial portions	Experimental Section >> Plant Material and Extraction of Essential Oil:steam distillation	Experimental Section >> Plant Material and Extraction of Essential Oil:Quebec, QC, Canada	
PMC5590070	Experimental Section >> Measurement of Anti-Inflammatory Activity:			Results and Discussion : steam distillation		
PMC5590070	Experimental Section >> Evaluation of Antioxidant Activity Using Cell-Based Assays					
PMC5590070	Experimental Section >> Evaluation of Antibacterial Activity					
PMC5590070	Results and Discussion:  anti-inflammatory, antioxidant, antibiotic, and cytotoxic effects	Results and Discussion : T. vulgare				
PMC5592951						
PMC5597067	Materials and Methods >> Materials	Materials and Methods >> Materials : Citrus medica L.	Materials and Methods >> Materials : fresh fruits	Materials and Methods >> Materials	Materials and Methods >> Materials : Zhejiang, China	
PMC5597067	Materials >> Antimicrobial Screening : antibacterial activity					
PMC5597067	Materials >> Antioxidant Activity Screening :  antioxidant activity					
PMC5597067	Results >> Antimicrobial Activity of Fingered Citron Oils: antimicrobial activity					
PMC5597067	Results >> Antioxidant Activity: antioxidant activity					
PMC5602041	Materials and methods >> Field experiment:  tick repelling activity	Materials and methods >> Essential oils : Table 11	Materials and methods >> Essential oils : Table 11	Materials and methods >> Essential oils: air-dried ,  steam distillation	Materials and methods >> Essential oils:Cairo-Egypt	
PMC5602041	Results >> Field study: strongest repellency toward ticks	Results >>  Isolation of essential oils: Foeniculum vulgare , Matricaria recutita, Ricinus communis, Conyza dioscoridis, Calendula officinalis , Artemisia herba-alba,	Results >>  Isolation of essential oils: seeds			
PMC5602841	Methods >> PAEO and carvacrol antimicrobial effect: Antimicrobial potential	Methods >> Plant material:  P. amboinicus	Methods >> Plant material:  Leaves and stem	Methods >> Extraction of Plectranthus amboinicus essential oil (PAEO): hydrodistillation	Methods >> Plant material: Northest Brazil	
PMC5602841	Methods >> Antibiogram to PAEO and carvacrol:  antimicrobial					
PMC5602841	Methods >> Antibiofilm activity: Antibiofilm activity					
PMC5602841	Results : Antibiotic					
PMC5602841	Results : Biofilm activities					
PMC5603114		Experimental >> Plant Material: resins	Experimental >> Plant Material: resins	Experimental >> Extraction: hydrodistillation	Experimental  >> Plant Material : Brazil	
PMC5603114	Results and Discussion:  antifungal, antibacterial, antioxidant, anticancer, and antispasmodic	Results and Discussion:  P. heptaphyllum	Results and Discussion: resin	Results and Discussion:	Results and Discussion:  Cruzeiro do Sul, AC, north of Brazil	
PMC5613177	Materials and methods >> Antioxidants: free radical scavenging	Materials and methods >> Chemicals, plant material, and treatments :  R. officinallis	Materials and methods >>  hydrodistillation of dried ground leaf: leaf	Materials and methods >> hydrodistillation of dried ground leaf  hydrodistillation of dried ground leaf	Materials and methods >> Chemicals, plant material, and treatments:Egypt	
PMC5613177	Materials and methods >>  Antibacterial activities of leaf extracts : antibacterial activities		Results: leaf	 Materials and methods >> hydrodistillation of dried ground leaf  hydrodistillation of dried ground leaf		
PMC5613177	Results >> Antioxidant capacity of leaves essential oils and methanolic extracts : antioxidant capacity		Results >> Antioxidant capacity of leaves essential oils and methanolic extracts : leaf			
PMC5615139		Materials and methods >> Plant material: identification and collection: Curcuma longa	Materials and methods >> Plant material: identification and collection : rhizomes and leaves	Materials and methods >> Extraction and analysis of the essential oil : fresh rhizomes of C. longa (1.5 kg) were hydro-distilled	Materials and methods >> Plant material: identification and collection :  Ondo (Nigeria)	
PMC5615285	Materials and Methods >> Antioxidant Activity	Materials and Methods >> Plant Material: F. vulgare	Materials and Methods >> Plant Material: aerial parts	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material: Varzob region, Tajikistan	
PMC5615285	Materials and Methods >> Cytotoxicity:   Cytotoxicity	Results and Discussion >> Chemical Composition: F. vulgare	Results and Discussion >> Chemical Composition:		Results and Discussion >> Chemical Composition:Tajikistan	
PMC5615285	Materials and Methods >> Hemolytic Activity: Hemolytic Activity					
PMC5615285	Results and Discussion >> Antioxidant Activity : Antioxidant					
PMC5615285	Results and Discussion >> Cytotoxicity : Cytotoxicity					
PMC5620597	Results and Discussion >> Chemical Analysis	Results and Discussion >> Chemical Analysis: O. forskolei and Teucrium yemense	Results and Discussion >> Chemical Analysis		Results and Discussion >> Chemical Analysis : Yemen	
PMC5620597		Materials and Methods >> Cultivation Conditions and Plant Material: Ocimum basilicum L. (basil)	Materials and Methods >> Cultivation Conditions and Plant Material: Ocimum basilicum L. (basil) : seeds	Materials and Methods >> Essential Oil Distillation:  hydro distillation		
PMC5622382		Materials and Methods >> Essential Oils: Salvia officinalis	Materials and Methods >> Essential Oils	Materials and Methods >> Essential Oils: hydrodistilled	Materials and Methods >> Essential Oils: Mexico	
PMC5622382		Results and Discussion: S. officinalis	Results and Discussion: sage leaf			
PMC5622390	Materials and Methods >> Antifungal Activity: antifungal	Materials and Methods >> Plant Material:Hedyosmum brasiliense	Materials and Methods >> Plant Material: flowers and leaves	Materials and Methods >> Extraction of the Essential Oils:  Leaves and flowers, hydrodistillation	Materials and Methods: Parque Estadual da Ilha do Cardoso, SÃ£o Paulo, Brazil	
PMC5622390	Results >> Antifungal Activity : antifungal					
PMC5622390	Results >> Antioxidant Activity: antioxident					
PMC5622397	Material and Methods >> Preparation of the Solutions for Biological Activity	Material and Methods: C. lunata	Material and Methods: maize leaves	Material and Methods	Material and Methods:  Brazil	
PMC5622397	Material and Methods >> Phytoxicity of the Essential Oil (Cymbopogon citratus) to Maize Plants			Essential Oil Attainment: hydrodistillation		
PMC5622398	Biological Activities >> Antimicrobial Activity :  antibacterial	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Rosemary (R EO): Rosmarinus officinalis L				
PMC5622398	Biological Activities >> Antifungal Activity : antifungal	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Rosemary (R EO): Origanum vulgare				
PMC5622398	Biological Activities >> Anti-Angiogenic and Anti-Tumoural Potential of Essential Oils: inhibit cancer cell viability and angiogenesis					
PMC5622398	Biological Activities >> Antioxidant Activity:  antioxidants					
PMC5622398	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Rosemary (R EO): antibacterial activity					
PMC5622398	Essential Oil of the Lamiaceae Family >> Essential Oil Extracted from Oregano (O EO) : antimicrobial and antioxidant activity.					
PMC5622401	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material: C. gileadensis	Materials and Methods >> Plant Material : Leaves, stems, and fruits	Materials and Methods >> Plant Material	Materials and Methods >> Plant Material : Israel.	
PMC5622401	Results and Discussion	Results and Discussion: C. gileadensis	Results and Discussion: aerial parts and flowering	Results and Discussion	Results and Discussion : Makkah, Saudi Arabia	
PMC5622403	Antimicrobial Properties of Artemisia Essential Oils:  antimicrobial: fungicidal	Chemical Composition of Essential oils of Artemisia Species: genus Artemisia, A. dracunculus, piperitone in A. judaica	Chemical Composition of Essential oils of Artemisia Species: leaf, stem, areal part and inflorescence			
PMC5622403	Efficacy of Artemisia Oils against Insect Pests: insecticidal agent or antifeedant					
PMC5622403	Antimicrobial Properties of Artemisia Essential Oils: fungicidal activity					
PMC5622403	Antioxidant Activity: inhibiting or quenching free radicals and reactive oxygen species					
PMC5625792	Methods >> Antibacterial activity >> Determination of minimum bactericidal concentration (MBC) :	Methods >> Essential oil :  ROEO		Methods >> Essential oil:  hydrodistillation	Methods >> Essential oil: Sfax, Tunisia.	
PMC5625792	Methods >> Determination of the effect of rosemary essential oil on Staphylococcus epidermidis S61 biofilm formation >> Inhibition of initial cell attachment : Anti-biofilm activity					
PMC5625792	Methods: Anticancer activity					
PMC5625792	Results >> Antibacterial activity : antibacterial activity					
PMC5625792	Results >> Anti-biofilm activity : anti-adhesion activity					
PMC5625792	Results >> Anticancer activity: anticancer activities					
PMC5625792	Results >> Analysis of wound healing and cell migration					
PMC5641611	Materials and Methods >> Mosquito larvicidal assay: larvicidal activity	Materials and Methods >> Collection of Plant material and extraction of essential oil: Coccinia grandis	Materials and Methods >> Collection of Plant material and extraction of essential oil: fresh leaves		Materials and Methods >> Collection of Plant material and extraction of essential oil:India	
PMC5651092		Materials and Methods >> Essential Oil : Citrus limonum and  Piper nigrum	Materials and Methods >> Essential Oil : peel		Materials and Methods >> Essential Oil : Brazil	
PMC5653886	Materials and Methods >> Evaluation of antibacterial activity : Antibacterial activity	Materials and Methods >> Plant material and EOs preparation M. officinalis and D. moldavica: M. officinalis and D. moldavica	Materials and Methods >> >> Plant material and EOs preparation : Aerial parts	Materials and Methods >> Plant material and EOs preparation: hydro-distillation	Materials and Methods >>   Plant material and EOs preparation : Urmia, Iran	
PMC5653886	Materials and Methods >> Determination of antioxidant activity: antioxidant activity	antioxidant activity				
PMC5653886	Results >> Chemical composition>> M. officinalis and D. moldavica					
PMC5653886	Results >> Antibacterial activity : Antibacterial	Results >> Antibacterial activity: M. officinalis and D. moldavica				
PMC5653886	Results >> Antioxidant properties : Antioxidant					
